ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
9,0.01074,0.9849,-0.1294,-0.1221,-0.2003,-0.04959,0.44874,0.51525,0.54639,0.48436,0.001999,-0.006851,-0.001328,-1307536989,70
10,-0.01123,0.9658,-0.2148,0.1354,-0.2518,0.08965,0.60009,0.747,0.22746,0.1736,0.002411,-0.009689,0.004654,-1307870958,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0004883,0.979,-0.1616,-0.1221,-0.1564,0.02289,8.4,-34.5,-3.6,0.60796,0.7191,0.2569,0.2174,-1307266016,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.01221,0.9551,-0.2617,0.2499,-0.09537,0.1717,-2.4,-38.25,14.7,0.07384,0.08555,-0.7865,-0.6071,-1307610448,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.002441,0.9834,-0.1528,0.1411,0.1354,0.003815,0.50962,0.59641,0.47224,0.40196,-0.0005646,-0.00412,0.004623,-1307234314,68
6,0.02002,0.9844,-0.1943,-0.02098,-0.1335,0.1316,0.17479,0.22727,0.74045,0.6079,0.002548,0.004715,0.005493,-1306900889,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0004883,0.9526,-0.1685,-0.0248,0.1049,0.2537,0.50726,0.60721,0.46909,0.39235,-7.629e-05,-0.03148,0.009048,-1306950573,126
9,0.01855,0.9824,-0.1216,0.06104,0.04387,0.07248,0.44869,0.51521,0.54641,0.48442,0.00975,-0.009308,0.006454,-1307518863,70
10,-0.0166,0.9712,-0.2173,-0.04768,-0.2518,-0.09346,0.60004,0.74696,0.22767,0.17368,-0.002838,-0.004303,0.002289,-1307809096,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.005859,0.9502,-0.1772,-0.06104,-0.03433,0.08392,7.5,-33.9,-4.5,0.60791,0.7192,0.2568,0.2173,-1307215444,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.01807,0.9639,-0.2441,-0.1163,-0.2174,-0.3166,-1.35,-39.3,16.05,0.074219,0.08607,-0.7864,-0.6072,-1307500868,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.006836,0.9731,-0.1499,0.08011,0.01335,0.003815,0.50958,0.59644,0.47228,0.40191,0.008743,-0.01436,0.007675,-1307144517,68
6,0.01611,0.9951,-0.2026,-0.02098,-0.1945,0.3757,0.17585,0.22864,0.74002,0.6076,-0.001465,0.01546,-0.002823,-1306820886,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.004395,0.958,-0.1709,0.09727,-0.0782,0.009537,0.507,0.60699,0.46941,0.39264,0.003723,-0.02609,0.006668,-1306860646,126
9,0.01563,0.9858,-0.1143,-0.1831,-0.1392,0.01144,0.44874,0.51529,0.54638,0.48434,0.006836,-0.005875,0.01384,-1307467027,70
10,-0.01758,0.9712,-0.2173,-0.1698,0.1755,-0.03242,0.60009,0.74695,0.22758,0.17366,-0.00386,-0.004318,0.002182,-1307739038,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.008301,0.9697,-0.1582,-0.2575,0.09346,0.07248,6.6,-33.3,-3.6,0.60795,0.7192,0.2568,0.2173,-1307165440,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.003906,0.9609,-0.249,0.06676,-0.03433,-0.01144,-0.3,-37.8,15,0.074149,0.086,-0.7865,-0.6071,-1307415756,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.004883,0.9766,-0.1709,-0.164,-0.1087,-0.1183,0.50953,0.59648,0.47233,0.40186,-0.002945,-0.01091,-0.01312,-1307084371,68
6,0.01465,0.9893,-0.1958,-0.02098,0.04959,0.07057,0.17588,0.22871,0.73999,0.6076,-0.002975,0.009598,0.003983,-1306751428,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.001953,0.9619,-0.1792,0.09727,-0.01717,-0.0515,0.50697,0.60681,0.46957,0.39277,0.001404,-0.02222,-0.001755,-1306790552,126
9,-0.00293,0.9775,-0.1421,0.2441,-0.01717,-0.1106,0.44899,0.51559,0.54614,0.48405,-0.01164,-0.01416,-0.01387,-1307318757,70
