ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.002441,0.9722,0.02246,-3.431,6.105,1.335,0.15817,0.14852,0.68961,0.69092,0.01048,-0.02773,0.0177,-817143212,126
9,-0.2485,0.9258,0.01953,4.309,-2.214,-4.137,0.42156,0.24061,0.66829,0.56372,0.04366,-0.03053,0.02855,-817581170,70
10,0.1211,0.9919,-0.2693,2.876,2.945,3.13,0.27092,0.2762,-0.74397,-0.54482,0.01895,0.03165,-0.00972,-817694279,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.1172,1.011,-0.06738,-6.937,-7.65,-5.093,-28.174,-31.059,13.963,0.37788,0.2606,-0.6555,-0.5996,-817916512,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.1001,0.9731,-0.01367,-8.812,28.67,10.49,23.73,-26.293,23.472,0.28527,0.2498,0.6891,0.6175,-817832502,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.06494,0.9756,-0.08105,-0.8564,2.113,-1.057,0.23187,0.29022,0.66997,0.64277,0.002548,-0.02026,-0.01488,-817036271,68
6,0.1147,0.9678,-0.103,-2.567,0.5283,-1.503,0.037743,-0.023289,-0.74583,-0.66465,0.0275,-0.0219,0.0106,-817014240,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.006348,0.9775,0.01611,-4.164,3.908,0.1755,0.15638,0.1471,0.68859,0.69264,0.005249,-0.02235,0.00769,-817092737,126
9,-0.2764,0.9512,-0.02539,1.867,-1.543,-3.466,0.42194,0.23861,0.67015,0.56208,0.02094,-0.003525,-0.01332,-817491350,70
10,0.1104,0.9802,-0.2722,1.228,-5.112,3.374,0.27327,0.27593,-0.7444,-0.54319,0.003281,0.02072,-0.01166,-817606216,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2139,0.9546,-0.05029,9.298,2.054,0.2785,-26.638,-30.747,15.178,0.36527,0.2559,-0.664,-0.6002,-817775949,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.1665,0.9443,-0.02979,-2.647,13.9,6.344,20.599,-26.539,22.444,0.27392,0.2417,0.6881,0.627,-817762570,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.04883,0.9849,-0.06982,-0.8564,2.968,-2.155,0.2314,0.28762,0.67098,0.64305,-0.01054,-0.01118,-0.003937,-816946886,68
6,0.1089,0.9873,-0.1099,-2.323,3.458,-1.076,0.036867,-0.024474,-0.74496,-0.66564,0.02139,-0.002625,0.001266,-816944362,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.01172,0.9717,0.01904,-5.934,0.8564,-0.2518,0.15557,0.14519,0.68584,0.69595,-0.000412,-0.02811,0.001968,-817010965,126
9,-0.2891,0.9482,-0.01074,1.684,-1.177,-3.466,0.4225,0.23858,0.67036,0.56142,0.009506,-0.006058,0.001862,-817471243,70
10,0.1426,0.9797,-0.302,-0.05341,2.762,1.543,0.27307,0.27456,-0.74521,-0.54287,0.03369,0.02069,-0.04054,-817566190,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.165,0.9688,-0.01953,6.918,4.496,2.171,-26.188,-31.047,16.228,0.36669,0.259,-0.6657,-0.5961,-817715810,98
13,0.1821,0.9927,0.01855,1.802,-20.37,15.38,0.055212,-0.045948,-0.68117,-0.7286,0.03996,0.005173,-0.04924,602493643,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.1338,0.9619,-0.04639,5.348,-11.74,-2.567,23.299,-25.489,23.044,0.27619,0.2399,0.6897,0.6249,-817635791,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0459,0.9863,-0.08789,-0.3071,3.029,-2.338,0.23121,0.28542,0.6718,0.64324,-0.01062,-0.009903,-0.02231,-816886391,68
6,0.1206,0.9854,-0.1113,-6.168,3.153,-0.8926,0.036891,-0.024896,-0.74313,-0.66766,0.03255,-0.005112,-0.005585,-816864362,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.004395,0.9839,0.03076,-6.91,2.382,-0.2518,0.15579,0.14452,0.68405,0.6978,0.01584,-0.01579,0.008377,-816962741,126
